1689909549.147642 server started (123429): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1689909549.147757 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1689909549.147757 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1689909549.147758 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1689909549.147759 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1689909549.147760 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1689909549.147761 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1689909549.147762 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1689909549.147763 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1689909549.147763 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1689909549.147764 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1689909549.147765 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1689909549.147766 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1689909549.147767 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1689909549.147768 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1689909549.147769 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1689909549.147769 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1689909549.147770 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1689909549.147771 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1689909549.147772 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1689909549.147773 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1689909549.147774 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1689909549.147775 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1689909549.147775 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1689909549.147776 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1689909549.147777 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1689909549.147778 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1689909549.147779 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1689909549.147780 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1689909549.147781 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1689909549.147782 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1689909549.147782 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1689909549.147783 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1689909549.147784 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1689909549.147785 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1689909549.147786 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1689909549.147787 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1689909549.147789 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1689909549.147790 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1689909549.147791 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1689909549.147792 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1689909549.147792 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1689909549.147793 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1689909549.147794 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1689909549.147796 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1689909549.147797 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1689909549.147798 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1689909549.147799 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1689909549.147800 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1689909549.147800 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1689909549.147801 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1689909549.147802 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1689909549.147803 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1689909549.147804 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1689909549.147805 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1689909549.147806 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1689909549.147807 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1689909549.147808 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1689909549.147808 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1689909549.147809 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1689909549.147810 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1689909549.147811 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1689909549.147812 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1689909549.147813 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1689909549.147814 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1689909549.147815 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1689909549.147815 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1689909549.147816 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1689909549.147817 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1689909549.147818 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1689909549.147819 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1689909549.147820 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1689909549.147821 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1689909549.147822 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1689909549.147823 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1689909549.147824 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1689909549.147824 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1689909549.147825 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1689909549.147826 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1689909549.147827 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1689909549.147828 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1689909549.147829 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1689909549.147830 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1689909549.147830 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1689909549.147831 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1689909549.147832 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1689909549.147833 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1689909549.147834 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1689909549.147835 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1689909549.147836 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1689909549.147837 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1689909549.147838 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1689909549.147838 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1689909549.147839 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1689909549.147840 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1689909549.147841 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1689909549.147842 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1689909549.147843 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1689909549.147844 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1689909549.147846 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1689909549.147846 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1689909549.147847 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1689909549.147848 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1689909549.147849 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1689909549.147850 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1689909549.147851 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1689909549.147852 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1689909549.147853 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1689909549.147853 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1689909549.147854 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1689909549.147855 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1689909549.147856 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1689909549.147857 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1689909549.147858 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1689909549.147859 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1689909549.147860 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1689909549.147860 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1689909549.147861 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1689909549.147862 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1689909549.147863 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1689909549.147864 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1689909549.147865 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1689909549.147866 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1689909549.147867 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1689909549.147867 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1689909549.147868 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1689909549.147869 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1689909549.147870 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1689909549.147871 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1689909549.147872 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1689909549.147873 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1689909549.147874 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1689909549.147874 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1689909549.147875 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1689909549.147876 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1689909549.147877 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1689909549.147878 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1689909549.147879 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1689909549.147880 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1689909549.147881 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1689909549.147882 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1689909549.147888 yylex_token: bind
1689909549.147889 yylex_token: -N
1689909549.147890 yylex_token: Send the prefix key
1689909549.147891 yylex_token: C-b
1689909549.147892 yylex_token: send-prefix
1689909549.147894 cmd_parse_build_commands 0:0: bind
1689909549.147895 cmd_parse_build_commands 0:1: -N
1689909549.147896 cmd_parse_build_commands 0:2: Send the prefix key
1689909549.147897 cmd_parse_build_commands 0:3: C-b
1689909549.147898 cmd_parse_build_commands 0:4 0:0: send-prefix
1689909549.147902 cmd_parse_build_commands 0:0: send-prefix
1689909549.147904 args_parse: flags end at 1 of 1
1689909549.147906 cmd_parse_build_commands: send-prefix
1689909549.147907 args_parse: -N = Send the prefix key
1689909549.147908 args_parse: flags end at 3 of 5
1689909549.147911 args_parse: 3 = C-b (type 1)
1689909549.147912 args_parse: 4 = send-prefix (type 2)
1689909549.147918 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1689909549.147920 cmdq_get_command: [bind-key/0x55582bbf6810] group 2
1689909549.147921 cmdq_append <global>: [bind-key/0x55582bbf6810]
1689909549.147923 yylex_token: bind
1689909549.147924 yylex_token: -N
1689909549.147926 yylex_token: Rotate through the panes
1689909549.147926 yylex_token: C-o
1689909549.147927 yylex_token: rotate-window
1689909549.147929 cmd_parse_build_commands 0:0: bind
1689909549.147930 cmd_parse_build_commands 0:1: -N
1689909549.147931 cmd_parse_build_commands 0:2: Rotate through the panes
1689909549.147932 cmd_parse_build_commands 0:3: C-o
1689909549.147933 cmd_parse_build_commands 0:4 0:0: rotate-window
1689909549.147934 cmd_parse_build_commands 0:0: rotate-window
1689909549.147935 args_parse: flags end at 1 of 1
1689909549.147936 cmd_parse_build_commands: rotate-window
1689909549.147937 args_parse: -N = Rotate through the panes
1689909549.147938 args_parse: flags end at 3 of 5
1689909549.147939 args_parse: 3 = C-o (type 1)
1689909549.147940 args_parse: 4 = rotate-window (type 2)
1689909549.147943 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1689909549.147944 cmdq_get_command: [bind-key/0x55582bbf76f0] group 10
1689909549.147945 cmdq_append <global>: [bind-key/0x55582bbf76f0]
1689909549.147947 yylex_token: bind
1689909549.147948 yylex_token: -N
1689909549.147949 yylex_token: Suspend the current client
1689909549.147950 yylex_token: C-z
1689909549.147951 yylex_token: suspend-client
1689909549.147952 cmd_parse_build_commands 0:0: bind
1689909549.147953 cmd_parse_build_commands 0:1: -N
1689909549.147954 cmd_parse_build_commands 0:2: Suspend the current client
1689909549.147955 cmd_parse_build_commands 0:3: C-z
1689909549.147956 cmd_parse_build_commands 0:4 0:0: suspend-client
1689909549.147957 cmd_parse_build_commands 0:0: suspend-client
1689909549.147959 args_parse: flags end at 1 of 1
1689909549.147960 cmd_parse_build_commands: suspend-client
1689909549.147961 args_parse: -N = Suspend the current client
1689909549.147962 args_parse: flags end at 3 of 5
1689909549.147963 args_parse: 3 = C-z (type 1)
1689909549.147964 args_parse: 4 = suspend-client (type 2)
1689909549.147966 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1689909549.147967 cmdq_get_command: [bind-key/0x55582bbf7f30] group 18
1689909549.147968 cmdq_append <global>: [bind-key/0x55582bbf7f30]
1689909549.147969 yylex_token: bind
1689909549.147969 yylex_token: -N
1689909549.147971 yylex_token: Select next layout
1689909549.147971 yylex_token: Space
1689909549.147972 yylex_token: next-layout
1689909549.147974 cmd_parse_build_commands 0:0: bind
1689909549.147974 cmd_parse_build_commands 0:1: -N
1689909549.147975 cmd_parse_build_commands 0:2: Select next layout
1689909549.147976 cmd_parse_build_commands 0:3: Space
1689909549.147977 cmd_parse_build_commands 0:4 0:0: next-layout
1689909549.147978 cmd_parse_build_commands 0:0: next-layout
1689909549.147979 args_parse: flags end at 1 of 1
1689909549.147980 cmd_parse_build_commands: next-layout
1689909549.147981 args_parse: -N = Select next layout
1689909549.147982 args_parse: flags end at 3 of 5
1689909549.147983 args_parse: 3 = Space (type 1)
1689909549.147984 args_parse: 4 = next-layout (type 2)
1689909549.147986 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1689909549.147987 cmdq_get_command: [bind-key/0x55582bbf86b0] group 26
1689909549.147988 cmdq_append <global>: [bind-key/0x55582bbf86b0]
1689909549.147989 yylex_token: bind
1689909549.147990 yylex_token: -N
1689909549.147991 yylex_token: Break pane to a new window
1689909549.147992 yylex_token: !
1689909549.147993 yylex_token: break-pane
1689909549.147994 cmd_parse_build_commands 0:0: bind
1689909549.147995 cmd_parse_build_commands 0:1: -N
1689909549.147996 cmd_parse_build_commands 0:2: Break pane to a new window
1689909549.147997 cmd_parse_build_commands 0:3: !
1689909549.147999 cmd_parse_build_commands 0:4 0:0: break-pane
1689909549.148000 cmd_parse_build_commands 0:0: break-pane
1689909549.148001 args_parse: flags end at 1 of 1
1689909549.148002 cmd_parse_build_commands: break-pane
1689909549.148003 args_parse: -N = Break pane to a new window
1689909549.148004 args_parse: flags end at 3 of 5
1689909549.148005 args_parse: 3 = ! (type 1)
1689909549.148006 args_parse: 4 = break-pane (type 2)
1689909549.148008 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1689909549.148009 cmdq_get_command: [bind-key/0x55582bbf8e80] group 34
1689909549.148010 cmdq_append <global>: [bind-key/0x55582bbf8e80]
1689909549.148012 yylex_token: bind
1689909549.148012 yylex_token: -N
1689909549.148013 yylex_token: Split window vertically
1689909549.148014 yylex_token: "
1689909549.148015 yylex_token: split-window
1689909549.148016 cmd_parse_build_commands 0:0: bind
1689909549.148017 cmd_parse_build_commands 0:1: -N
1689909549.148018 cmd_parse_build_commands 0:2: Split window vertically
1689909549.148019 cmd_parse_build_commands 0:3: "
1689909549.148020 cmd_parse_build_commands 0:4 0:0: split-window
1689909549.148021 cmd_parse_build_commands 0:0: split-window
1689909549.148022 args_parse: flags end at 1 of 1
1689909549.148023 cmd_parse_build_commands: split-window
1689909549.148024 args_parse: -N = Split window vertically
1689909549.148025 args_parse: flags end at 3 of 5
1689909549.148026 args_parse: 3 = " (type 1)
1689909549.148027 args_parse: 4 = split-window (type 2)
1689909549.148029 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1689909549.148031 cmdq_get_command: [bind-key/0x55582bbf9560] group 42
1689909549.148031 cmdq_append <global>: [bind-key/0x55582bbf9560]
1689909549.148033 yylex_token: bind
1689909549.148033 yylex_token: -N
1689909549.148034 yylex_token: List all paste buffers
1689909549.148035 yylex_token: #
1689909549.148036 yylex_token: list-buffers
1689909549.148037 cmd_parse_build_commands 0:0: bind
1689909549.148038 cmd_parse_build_commands 0:1: -N
1689909549.148039 cmd_parse_build_commands 0:2: List all paste buffers
1689909549.148040 cmd_parse_build_commands 0:3: #
1689909549.148041 cmd_parse_build_commands 0:4 0:0: list-buffers
1689909549.148042 cmd_parse_build_commands 0:0: list-buffers
1689909549.148043 args_parse: flags end at 1 of 1
1689909549.148044 cmd_parse_build_commands: list-buffers
1689909549.148045 args_parse: -N = List all paste buffers
1689909549.148046 args_parse: flags end at 3 of 5
1689909549.148046 args_parse: 3 = # (type 1)
1689909549.148047 args_parse: 4 = list-buffers (type 2)
1689909549.148049 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1689909549.148050 cmdq_get_command: [bind-key/0x55582bbf9b70] group 50
1689909549.148051 cmdq_append <global>: [bind-key/0x55582bbf9b70]
1689909549.148052 yylex_token: bind
1689909549.148053 yylex_token: -N
1689909549.148054 yylex_token: Rename current session
1689909549.148055 yylex_token: $
1689909549.148056 yylex_token: command-prompt
1689909549.148057 yylex_token: -I#S
1689909549.148057 yylex_token: rename-session
1689909549.148058 yylex_token: --
1689909549.148059 yylex_token: %%
1689909549.148061 cmd_parse_build_commands 0:0: bind
1689909549.148061 cmd_parse_build_commands 0:1: -N
1689909549.148062 cmd_parse_build_commands 0:2: Rename current session
1689909549.148063 cmd_parse_build_commands 0:3: $
1689909549.148064 cmd_parse_build_commands 0:4 0:0: command-prompt
1689909549.148065 cmd_parse_build_commands 0:4 0:1: -I#S
1689909549.148066 cmd_parse_build_commands 0:4 0:2 0:0: rename-session
1689909549.148067 cmd_parse_build_commands 0:4 0:2 0:1: --
1689909549.148068 cmd_parse_build_commands 0:4 0:2 0:2: %%
1689909549.148069 cmd_parse_build_commands 0:0: command-prompt
1689909549.148070 cmd_parse_build_commands 0:1: -I#S
1689909549.148070 cmd_parse_build_commands 0:2 0:0: rename-session
1689909549.148071 cmd_parse_build_commands 0:2 0:1: --
1689909549.148072 cmd_parse_build_commands 0:2 0:2: %%
1689909549.148074 cmd_parse_build_commands 0:0: rename-session
1689909549.148075 cmd_parse_build_commands 0:1: --
1689909549.148076 cmd_parse_build_commands 0:2: %%
1689909549.148078 args_parse: flags end at 2 of 3
1689909549.148079 args_parse: 2 = %% (type 1)
1689909549.148080 cmd_parse_build_commands: rename-session "%%"
1689909549.148081 args_parse: -I = #S
1689909549.148082 args_parse: flags end at 2 of 3
1689909549.148083 args_parse: 2 = rename-session "%%" (type 2)
1689909549.148086 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1689909549.148086 args_parse: -N = Rename current session
1689909549.148087 args_parse: flags end at 3 of 5
1689909549.148088 args_parse: 3 = $ (type 1)
1689909549.148090 args_parse: 4 = command-prompt -I "#S" { rename-session "%%" } (type 2)
1689909549.148093 cmd_parse_build_commands: bind-key -N "Rename current session" \\$ { command-prompt -I "#S" { rename-session "%%" } }
1689909549.148095 cmdq_get_command: [bind-key/0x55582bbfa9b0] group 58
1689909549.148096 cmdq_append <global>: [bind-key/0x55582bbfa9b0]
1689909549.148098 yylex_token: bind
1689909549.148098 yylex_token: -N
1689909549.148100 yylex_token: Split window horizontally
1689909549.148100 yylex_get_word: %
1689909549.148101 yylex_token: split-window
1689909549.148102 yylex_token: -h
1689909549.148103 cmd_parse_build_commands 0:0: bind
1689909549.148104 cmd_parse_build_commands 0:1: -N
1689909549.148105 cmd_parse_build_commands 0:2: Split window horizontally
1689909549.148106 cmd_parse_build_commands 0:3: %
1689909549.148107 cmd_parse_build_commands 0:4 0:0: split-window
1689909549.148108 cmd_parse_build_commands 0:4 0:1: -h
1689909549.148109 cmd_parse_build_commands 0:0: split-window
